"1级分类","1级功能描述","2级分类","2级功能描述","3级分类","3级功能描述","4级分类","4级功能描述","5级分类","5级功能描述","关键技术点","典型场景","优先级","Apstra支持状态","Apstra支持说明","CloudVision支持状态","CloudVision支持说明","iMaster NCE-Fabric + FabricInsight支持状态","iMaster NCE-Fabric + FabricInsight支持说明","AmpCon-DC（FS/Pica8）支持状态","AmpCon-DC（FS/Pica8）支持说明"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","拥塞诊断","定位微突发、队列拥塞及Buffer耗尽问题。","Buffer分析","对Buffer分析相关数据进行关联分析、问题定位和结果呈现。","Buffer耗尽分析","Buffer耗尽分析用于围绕水位、Tail Drop、Headroom Exhaustion开展分析和诊断。","水位、Tail Drop、Headroom Exhaustion","明确Buffer耗尽分析覆盖的具体对象、状态或指标，包括水位、Tail Drop、Headroom Exhaustion。","微突发、队列水位、Buffer、丢包、PFC/ECN 关联分析；具体范围：水位、Tail Drop、Headroom Exhaustion","微突发、队列拥塞、Buffer 耗尽及无损网络丢包定位；关注：水位、Tail Drop、Headroom Exhaustion","P0（核心）","部分支持","Buffer耗尽分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","Buffer耗尽分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","Buffer耗尽分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 水位、Tail Drop、Headroom Exhaustion，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","Buffer耗尽分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 水位、Tail Drop、Headroom Exhaustion；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","PFC诊断","对PFC诊断相关数据进行关联分析、问题定位和结果呈现。","PFC风暴分析","PFC风暴分析用于围绕源端口、传播路径、持续时间开展分析和诊断。","源端口、传播路径、持续时间","明确PFC风暴分析覆盖的具体对象、状态或指标，包括源端口、传播路径、持续时间。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：源端口、传播路径、持续时间","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：源端口、传播路径、持续时间","P0（核心）","部分支持","PFC风暴分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","PFC风暴分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","PFC风暴分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 源端口、传播路径、持续时间，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","PFC风暴分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 源端口、传播路径、持续时间；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","PFC诊断","对PFC诊断相关数据进行关联分析、问题定位和结果呈现。","PFC Deadlock分析","PFC Deadlock分析用于围绕依赖环、优先级、Watchdog开展分析和诊断。","依赖环、优先级、Watchdog","明确PFC Deadlock分析覆盖的具体对象、状态或指标，包括依赖环、优先级、Watchdog。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：依赖环、优先级、Watchdog","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：依赖环、优先级、Watchdog","P0（核心）","部分支持","PFC Deadlock分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","PFC Deadlock分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","PFC Deadlock分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 依赖环、优先级、Watchdog，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","PFC Deadlock分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 依赖环、优先级、Watchdog；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","PFC诊断","对PFC诊断相关数据进行关联分析、问题定位和结果呈现。","PFC异常增长分析","PFC异常增长分析用于围绕Tx/Rx、优先级、端口、速率开展分析和诊断。","Tx/Rx、优先级、端口、速率","明确PFC异常增长分析覆盖的具体对象、状态或指标，包括Tx/Rx、优先级、端口、速率。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：Tx/Rx、优先级、端口、速率","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：Tx/Rx、优先级、端口、速率","P0（核心）","部分支持","PFC异常增长分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","PFC异常增长分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","PFC异常增长分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 Tx/Rx、优先级、端口、速率，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","PFC异常增长分析：v2.2.0 已公开端到端 RoCE 部署、预检/批量下发/部署后校验、交换机与 NIC 流量监控及 Broadcom/NVIDIA NIC 管理；未证明完整覆盖 Tx/Rx、优先级、端口、速率。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","ECN与DCQCN诊断","对ECN与DCQCN诊断相关数据进行关联分析、问题定位和结果呈现。","ECN持续标记分析","ECN持续标记分析用于围绕队列、阈值、流量、热点端口开展分析和诊断。","队列、阈值、流量、热点端口","明确ECN持续标记分析覆盖的具体对象、状态或指标，包括队列、阈值、流量、热点端口。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：队列、阈值、流量、热点端口","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：队列、阈值、流量、热点端口","P0（核心）","部分支持","ECN持续标记分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","ECN持续标记分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","ECN持续标记分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 队列、阈值、流量、热点端口，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","ECN持续标记分析：v2.2.0 已公开端到端 RoCE 部署、预检/批量下发/部署后校验、交换机与 NIC 流量监控及 Broadcom/NVIDIA NIC 管理；未证明完整覆盖 队列、阈值、流量、热点端口。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","ECN与DCQCN诊断","对ECN与DCQCN诊断相关数据进行关联分析、问题定位和结果呈现。","CNP响应分析","CNP响应分析用于围绕CNP发送、接收、NIC降速开展分析和诊断。","CNP发送、接收、NIC降速","明确CNP响应分析覆盖的具体对象、状态或指标，包括CNP发送、接收、NIC降速。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：CNP发送、接收、NIC降速","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：CNP发送、接收、NIC降速","P0（核心）","部分支持","CNP响应分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","CNP响应分析：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","CNP响应分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 CNP发送、接收、NIC降速，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","CNP响应分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 CNP发送、接收、NIC降速；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","ECN与DCQCN诊断","对ECN与DCQCN诊断相关数据进行关联分析、问题定位和结果呈现。","端网参数一致性","端网参数一致性用于围绕ECN、CNP、DSCP、NIC参数开展分析和诊断。","ECN、CNP、DSCP、NIC参数","明确端网参数一致性覆盖的具体对象、状态或指标，包括ECN、CNP、DSCP、NIC参数。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：ECN、CNP、DSCP、NIC参数","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：ECN、CNP、DSCP、NIC参数","P0（核心）","不支持/未发现原生支持","端网参数一致性：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","端网参数一致性：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","端网参数一致性：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 ECN、CNP、DSCP、NIC参数，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","端网参数一致性：v2.2.0 已公开端到端 RoCE 部署、预检/批量下发/部署后校验、交换机与 NIC 流量监控及 Broadcom/NVIDIA NIC 管理；未证明完整覆盖 ECN、CNP、DSCP、NIC参数。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","无损队列与Buffer","对无损队列与Buffer相关数据进行关联分析、问题定位和结果呈现。","队列映射检查","队列映射检查用于围绕DSCP、Priority、Queue、PFC开展分析和诊断。","DSCP、Priority、Queue、PFC","明确队列映射检查覆盖的具体对象、状态或指标，包括DSCP、Priority、Queue、PFC。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：DSCP、Priority、Queue、PFC","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：DSCP、Priority、Queue、PFC","P0（核心）","部分支持","队列映射检查：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","队列映射检查：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","队列映射检查：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 DSCP、Priority、Queue、PFC，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","部分支持/依设备或版本","队列映射检查：v2.2.0 已公开端到端 RoCE 部署、预检/批量下发/部署后校验、交换机与 NIC 流量监控及 Broadcom/NVIDIA NIC 管理；未证明完整覆盖 DSCP、Priority、Queue、PFC。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","无损队列与Buffer","对无损队列与Buffer相关数据进行关联分析、问题定位和结果呈现。","Headroom合理性分析","Headroom合理性分析用于围绕端口速率、线缆距离、突发量开展分析和诊断。","端口速率、线缆距离、突发量","明确Headroom合理性分析覆盖的具体对象、状态或指标，包括端口速率、线缆距离、突发量。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：端口速率、线缆距离、突发量","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：端口速率、线缆距离、突发量","P0（核心）","不支持/未发现原生支持","Headroom合理性分析：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","Headroom合理性分析：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","Headroom合理性分析：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 端口速率、线缆距离、突发量，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","Headroom合理性分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 端口速率、线缆距离、突发量；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","负载均衡诊断","对负载均衡诊断相关数据进行关联分析、问题定位和结果呈现。","ECMP Hash分布","ECMP Hash分布用于围绕路径流量偏差、热点开展分析和诊断。","路径流量偏差、热点","明确ECMP Hash分布覆盖的具体对象、状态或指标，包括路径流量偏差、热点。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：路径流量偏差、热点","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：路径流量偏差、热点","P0（核心）","部分支持","ECMP Hash分布：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","ECMP Hash分布：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","ECMP Hash分布：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 路径流量偏差、热点，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","ECMP Hash分布：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 路径流量偏差、热点；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","负载均衡诊断","对负载均衡诊断相关数据进行关联分析、问题定位和结果呈现。","DLB/GLB/ALB效果","DLB/GLB/ALB效果用于围绕Flowlet、重平衡、乱序、吞吐开展分析和诊断。","Flowlet、重平衡、乱序、吞吐","明确DLB/GLB/ALB效果覆盖的具体对象、状态或指标，包括Flowlet、重平衡、乱序、吞吐。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：Flowlet、重平衡、乱序、吞吐","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：Flowlet、重平衡、乱序、吞吐","P0（核心）","部分支持","DLB/GLB/ALB效果：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","部分支持","DLB/GLB/ALB效果：数据可来自 EOS/特定 ASIC、LANZ、队列或 PFC/ECN 计数器；CloudVision 展示和分析范围依硬件、EOS 版本与订阅，故仅部分支持。","部分支持/依组件、版本或硬件","DLB/GLB/ALB效果：需结合 iMaster NCE-FabricInsight 分析器评估。官方资料确认其采集应用流、网络与 Telemetry 数据，支持关键应用质量检测、一键路径诊断、故障定位、网络质量劣化及亚健康光模块/链路分析；但未核验完整覆盖 Flowlet、重平衡、乱序、吞吐，且依版本、Foundation Package、Telemetry/IOAM 与硬件。","不支持/未发现原生支持","DLB/GLB/ALB效果：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 Flowlet、重平衡、乱序、吞吐；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","拓扑与作业诊断","对拓扑与作业诊断相关数据进行关联分析、问题定位和结果呈现。","Rail故障域分析","Rail故障域分析用于围绕GPU NIC、Leaf、Plane、影响GPU开展分析和诊断。","GPU NIC、Leaf、Plane、影响GPU","明确Rail故障域分析覆盖的具体对象、状态或指标，包括GPU NIC、Leaf、Plane、影响GPU。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：GPU NIC、Leaf、Plane、影响GPU","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：GPU NIC、Leaf、Plane、影响GPU","P0（核心）","部分支持","Rail故障域分析：可借助 NOS 计数器、Streaming Telemetry、定制 IBA Probe、Configlet 或外部 Flow/GPU 系统覆盖部分指标，不等同 Apstra 原生完整分析器。","不支持/未发现原生支持","Rail故障域分析：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","Rail故障域分析：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 GPU NIC、Leaf、Plane、影响GPU 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","不支持/未发现原生支持","Rail故障域分析：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 GPU NIC、Leaf、Plane、影响GPU；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","AIDC诊断","诊断PFC、ECN、DCQCN、无损队列、负载均衡和GPU作业问题。","拓扑与作业诊断","对拓扑与作业诊断相关数据进行关联分析、问题定位和结果呈现。","GPU Job网络关联","GPU Job网络关联用于围绕训练吞吐、迭代时间、路径拥塞开展分析和诊断。","训练吞吐、迭代时间、路径拥塞","明确GPU Job网络关联覆盖的具体对象、状态或指标，包括训练吞吐、迭代时间、路径拥塞。","RoCE 无损链路、PFC/ECN/DCQCN、NIC/交换机与作业关联；具体范围：训练吞吐、迭代时间、路径拥塞","训练性能下降、PFC 风暴、ECN/DCQCN 与负载不均排障；关注：训练吞吐、迭代时间、路径拥塞","P2（演进）","不支持/未发现原生支持","GPU Job网络关联：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","GPU Job网络关联：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","未发现公开证据","GPU Job网络关联：已同时核对 iMaster NCE-Fabric 与 iMaster NCE-FabricInsight，当前公开资料未证明组合方案提供覆盖 训练吞吐、迭代时间、路径拥塞 的完整产品化能力；该结论表示未发现证据，并非断言绝对不支持。","不支持/未发现原生支持","GPU Job网络关联：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 训练吞吐、迭代时间、路径拥塞；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","配置诊断","分析配置一致性、配置来源、冲突和合规状态。","配置一致性","对配置一致性相关数据进行关联分析、问题定位和结果呈现。","Designed/Running对比","Designed/Running对比用于围绕缺失、多余、修改、来源开展分析和诊断。","缺失、多余、修改、来源","明确Designed/Running对比覆盖的具体对象、状态或指标，包括缺失、多余、修改、来源。","配置解析、意图/实际差异、来源追踪、冲突与合规规则；具体范围：缺失、多余、修改、来源","配置冲突、合规偏差、来源追踪与错误配置定位；关注：缺失、多余、修改、来源","P0（核心）","支持","Designed/Running对比：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 缺失、多余、修改、来源。","支持","Designed/Running对比：CloudVision 原生状态流、Events、Designed/Running Compliance、Workspace/Change Control 或历史状态可核验覆盖该项；范围为 缺失、多余、修改、来源。","部分支持/依组件、版本或硬件","Designed/Running对比：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 缺失、多余、修改、来源 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","部分支持/依设备或版本","Designed/Running对比：Day 0–Day 2+ 生命周期、Underlay 模板化自动化、批量部署和部署前后校验可覆盖部分流程；未核验完整覆盖 缺失、多余、修改、来源。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"分析与诊断","基于拓扑、遥测、配置和事件数据进行异常识别、根因定位、影响评估及故障诊断。","配置诊断","分析配置一致性、配置来源、冲突和合规状态。","配置一致性","对配置一致性相关数据进行关联分析、问题定位和结果呈现。","多设备一致性","多设备一致性用于围绕Spine、Leaf、Peer、MLAG对比开展分析和诊断。","Spine、Leaf、Peer、MLAG对比","明确多设备一致性覆盖的具体对象、状态或指标，包括Spine、Leaf、Peer、MLAG对比。","配置解析、意图/实际差异、来源追踪、冲突与合规规则；具体范围：Spine、Leaf、Peer、MLAG对比","配置冲突、合规偏差、来源追踪与错误配置定位；关注：Spine、Leaf、Peer、MLAG对比","P0（核心）","支持","多设备一致性：Apstra 6.1 通过 Blueprint 意图图、Anomaly/RCI、IBA、Revision 或 Time Voyager 原生覆盖该项；范围为 Spine、Leaf、Peer、MLAG对比。","部分支持","多设备一致性：CloudVision 可提供部分遥测、事件或配置证据；覆盖 Spine、Leaf、Peer、MLAG对比 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","多设备一致性：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 Spine、Leaf、Peer、MLAG对比 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","部分支持/依设备或版本","多设备一致性：Day 0–Day 2+ 生命周期、Underlay 模板化自动化、批量部署和部署前后校验可覆盖部分流程；未核验完整覆盖 Spine、Leaf、Peer、MLAG对比。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
